id,facility_name,institution_id,timezone_id,is_agency,is_pre_fence_enabled,is_fall_alert_enabled,is_enable_etl,is_room_change_no_delay,auth_token_key,is_enabledfortempopooling,is_enabledforvisitortempopooling,created_at,created_by_user_id,updated_at,deactivated_at,is_active,is_alert_v2_facility,is_pre_sales_facility,is_customer_facility,is_processing_enabled,is_reporting_enabled,is_demo_facility,demo_data_source_facility_id,display_facility_groups
15,Crown Senior Living of Indiana,14,116,0,0,0,0,0,,0,0,2015-11-02 19:06:50,,2018-08-28 4:58:38,,2,1,0,1,0,1,0,0,0
64,The Legacy at Cimarron,32,427,0,1,0,0,0,,0,0,2017-03-02 14:28:09,,2020-09-21 15:52:03,,1,1,0,1,1,1,0,0,0
66,The Legacy at South Plains,32,87,0,0,0,0,0,,0,0,2017-04-20 14:42:10,,2020-10-01 16:58:03,,1,1,0,1,1,1,0,0,1
83,The Legacy at Santa Fe,32,96,0,1,0,0,0,,0,0,2017-10-25 15:04:58,,2020-10-01 17:04:43,,1,1,0,1,1,1,0,0,0
1010,The Legacy at Long Meadow,32,87,0,0,0,0,0,null,0,0,2018-04-13 20:42:59,,2020-09-28 15:58:06,,1,1,0,1,1,1,0,0,0
1030,All Seasons Pheasant Ridge,1013,133,0,0,0,0,0,,1,0,2018-10-09 18:56:34,,2024-05-14 22:52:59,,1,1,0,1,1,1,0,0,0
1045,Grand Village at Clear Creek,1019,87,0,0,0,0,0,,0,0,2019-01-16 18:56:36,,2020-09-30 15:52:49,,1,1,0,1,1,1,0,0,0
1046,The Legacy at Town Square,32,87,0,0,0,0,0,,1,0,2019-01-18 14:55:39,,2020-10-01 18:53:31,,1,1,0,1,1,1,0,0,0
1047,Superior Residences At Cala Hills,1020,152,0,0,0,0,0,,0,0,2019-01-24 21:51:22,,,,2,1,0,1,1,1,0,0,0
1050,DS Innovation and Technology Center,1021,87,0,0,0,0,1,,0,0,2019-02-14 17:25:59,,,2020-09-24 21:48:22,0,1,0,1,1,1,0,0,0
1056,Tradition Buffalo Speedway IL,1022,87,0,0,0,0,0,,1,0,2019-04-10 17:23:19,,2020-10-01 16:50:39,,1,1,0,1,1,1,0,0,1
1057,Carefield Park Visalia,1023,133,0,0,0,0,0,,0,0,2019-04-14 12:52:25,,2020-10-01 15:24:16,,2,1,0,1,1,1,0,0,0
1067,Aspen Creek Riverside Soldotna,1027,53,0,0,0,0,0,,0,0,2019-06-26 16:32:29,,2023-06-01 17:33:32,2024-02-02 19:42:50,0,1,0,1,1,1,0,0,0
1068,The Monarch at Coconut Creek,1028,152,0,0,0,0,0,,1,0,2019-07-02 16:15:30,,2022-01-17 6:35:59,,1,1,0,1,1,1,0,0,0
1070,Tradition Buffalo Speedway AL and MC,1022,87,0,0,0,0,0,,1,0,2019-09-06 23:28:48,,2020-10-01 16:51:07,,1,1,0,1,1,1,0,0,1
1071,Aspen Creek Anchorage,1029,53,0,0,0,0,0,,1,0,2019-09-10 14:25:30,,2022-06-13 6:31:37,,1,1,0,1,1,1,0,0,0
1078,The Maples at Stoneleigh,1030,152,0,0,0,0,0,,1,1,2019-11-04 19:02:46,,2022-05-03 16:31:08,2023-07-27 23:31:18,0,1,0,1,1,1,0,0,0
1080,Morrison Manor,1031,96,0,0,0,0,0,,1,0,2019-11-07 22:30:16,,2020-09-30 20:39:12,2023-01-31 19:26:28,0,1,0,1,1,1,0,0,0
1088,Lutheran Village of Ashland,1033,152,0,0,0,0,0,,1,0,2019-11-21 20:57:23,,2020-10-01 18:41:21,,1,1,0,1,1,1,0,0,0
1089,United Methodist Communities at Bristol Glen,1034,152,0,0,0,0,0,,1,0,2019-12-13 18:29:52,,2020-01-22 17:35:36,2022-03-29 1:45:48,0,1,0,1,1,1,0,0,0
1090,Riverquest Assisted Living Soldotna,1035,53,0,0,0,0,0,,1,1,2019-12-28 0:30:43,,2020-10-01 15:25:09,,2,1,0,1,1,1,0,0,0
1091,Whitney Place at Sharon,1036,152,0,0,0,0,0,,1,0,2020-01-14 16:31:23,,2020-01-27 18:51:30,,2,1,0,1,1,1,0,0,0
1092,The Madyson at Palm Beach Gardens MC,1028,152,0,0,0,0,0,,1,0,2020-01-14 19:13:58,,2022-01-17 6:38:25,,1,1,0,1,1,1,0,0,0
1093,Inspiritas of Wildwood,1028,152,0,0,0,0,0,,1,0,2020-01-14 19:20:58,,2022-01-17 6:36:39,2024-01-25 23:15:35,0,1,0,1,1,1,0,0,0
1122,Villa Bella of Clinton Township,1059,152,0,0,0,0,0,,1,1,2020-02-25 0:16:56,,2020-12-17 20:25:20,,2,1,0,1,1,1,0,0,0
1130,Cypress Cove,1062,152,0,0,0,0,0,,0,0,2020-03-10 18:31:19,,,,2,1,0,1,1,1,0,0,0
1136,Modena Cherry Creek,1068,96,0,0,0,0,0,,1,0,2020-03-24 14:51:21,,2020-11-13 19:12:51,,1,1,0,1,1,1,0,0,0
1152,BridgeWater Assisted Living Tucson,1070,163,0,0,0,0,0,,1,0,2020-05-28 21:14:07,,2022-03-29 1:31:36,,1,1,0,1,1,1,0,0,1
1155,Tradition Woodway AL and MC,1022,87,0,0,0,0,0,,1,0,2020-06-11 18:20:19,,2020-10-01 16:49:28,,1,1,0,1,1,1,0,0,0
1156,Tradition Woodway IL,1022,87,0,0,0,0,0,,1,0,2020-06-11 18:22:17,,2020-10-01 16:48:33,,1,1,0,1,1,1,0,0,0
1159,WellQuest Elk Grove,1071,133,0,0,0,0,0,,0,0,2020-07-08 23:41:02,,,,1,1,0,1,1,1,0,0,0
1164,Trinity Senior Village,1074,152,0,0,0,0,0,,1,1,2020-08-11 15:11:56,,2020-09-04 13:51:09,2023-07-28 20:59:50,0,1,0,1,1,1,0,0,0
1165,Majestic Oaks,1075,152,0,0,0,0,0,,1,1,2020-09-08 10:26:30,,,2023-07-28 21:01:28,0,1,0,1,1,1,0,0,0
1166,Southern Haven,1076,152,0,0,0,0,0,,1,1,2020-09-11 19:50:05,,2020-10-01 15:27:28,,1,1,0,1,1,1,0,0,0
1168,Maplewood Place,1077,152,0,0,0,0,0,,1,1,2020-10-05 23:39:27,,2020-10-16 12:36:20,,1,1,0,1,1,1,0,0,1
1169,Beaumont Commons,1059,152,0,0,0,0,0,,1,1,2020-10-09 14:05:50,,,,2,1,0,1,1,1,0,0,1
1171,Newport Beach,1077,133,0,0,0,0,0,,1,1,2020-10-20 19:47:21,,2022-08-29 21:03:25,,1,1,0,1,1,1,0,0,1
1174,Bickford of Omaha Hickory,1079,87,0,0,0,0,0,,1,1,2020-11-20 18:07:41,,2021-09-14 22:27:03,,1,1,0,1,1,1,0,0,1
1176,Inspiritas of West Melbourne,1028,152,0,0,0,0,0,,1,0,2020-12-01 20:13:35,,2022-01-17 6:37:05,,1,1,0,1,1,1,0,0,1
1177,Hershey,1080,152,0,0,0,0,0,,1,0,2020-12-23 23:17:17,,,2023-01-27 18:21:40,0,1,0,1,1,1,0,0,0
1178,Grand Villa of Sarasota,1081,152,0,0,0,0,0,,1,1,2021-01-05 0:17:09,,,2022-11-17 23:24:13,0,1,0,1,1,1,0,0,0
1179,Aravilla Memory Care Clearwater,1082,152,0,0,0,0,0,,1,1,2021-01-08 19:02:13,,2024-02-22 19:20:58,,1,1,0,1,1,1,0,0,1
1180,Rolling Hills,1083,133,0,0,0,0,0,,1,0,2021-01-15 19:55:44,,2024-03-04 17:57:04,,1,1,0,1,1,1,0,0,0
1183,BridgeWater Assisted Living Avondale,1070,163,0,0,0,0,0,,1,0,2021-03-08 18:16:11,,2022-03-29 1:29:49,,1,1,0,1,1,1,0,0,0
1187,Affectionate Care,1086,87,0,0,0,0,0,,1,0,2021-04-08 22:26:13,,2024-02-29 3:25:43,,1,1,0,1,1,1,0,0,0
1188,Village at Sugar Land,1087,87,0,0,0,0,0,,1,1,2021-04-13 20:21:51,,2023-04-06 16:59:10,,1,1,0,1,1,1,0,0,0
1189,WellQuest Granite Bay,1071,133,0,0,0,0,0,,1,0,2021-04-26 16:46:15,,,,1,1,0,1,1,1,0,0,1
1196,Bickford of West Des Moines,1079,87,0,0,0,0,0,,1,1,2021-05-26 3:40:50,,2021-05-26 18:54:28,,1,1,0,1,1,1,0,0,1
1197,Solterra Senior Living at Chandler,1070,163,0,0,0,0,0,,1,1,2021-05-26 3:48:55,,2023-08-02 21:43:59,,1,1,0,1,1,1,0,0,1
1199,Bickford of Champaign,1079,87,0,0,0,0,0,,1,1,2021-05-26 18:53:21,,2021-05-26 18:54:55,,1,1,0,1,1,1,0,0,1
1201,WellQuest Menifee Lakes,1071,133,0,0,0,0,0,,1,1,2021-05-27 15:52:57,,2021-05-27 15:53:36,,1,1,0,1,1,1,0,0,1
1202,The Willows at Medway,1036,152,0,0,0,0,0,,1,1,2021-05-27 15:57:11,,,,2,1,0,1,1,1,0,0,1
1203,New Hope Senior Living,1088,87,0,0,0,0,0,,1,1,2021-05-27 16:03:10,,2021-08-30 20:53:48,,1,1,0,1,1,1,0,0,1
1204,Newhaven Court,1089,152,0,0,0,0,0,,1,1,2021-05-27 16:09:22,,2021-06-30 23:52:08,,2,1,0,1,1,1,0,0,1
1205,Magnolia Grove,1090,133,0,0,0,0,0,,1,1,2021-05-27 16:14:08,,,2023-07-28 21:02:07,0,1,0,1,1,1,0,0,1
1206,Westminster Tallahassee,1091,152,0,0,0,0,0,,1,1,2021-05-27 16:23:38,,2021-09-07 17:20:39,,1,1,0,1,1,1,0,0,1
1207,Remember Me,1092,152,0,0,0,0,0,,1,1,2021-05-27 16:31:21,,2021-09-08 19:40:04,,1,1,0,1,1,1,0,0,1
1208,Edenwald,1093,152,0,0,0,0,0,,1,1,2021-05-27 16:36:49,,,,2,1,0,1,1,1,0,0,1
1209,San Clemente,1094,133,0,0,0,0,0,,1,1,2021-05-27 16:41:45,,2021-12-09 0:17:37,,1,1,0,1,1,1,0,0,1
1210,Bickford of St. Charles,1079,87,0,0,0,0,0,,1,1,2021-05-27 22:46:19,,2021-08-12 13:37:34,,1,1,0,1,1,1,0,0,1
1211,Woodmont Demo Environment,1095,152,0,0,0,0,0,,1,1,2021-06-04 20:30:59,,,,2,1,0,1,1,1,0,0,1
1213,The Madyson at Palm Beach Gardens AL,1028,116,0,0,0,0,0,,1,1,2021-06-25 19:43:18,,2022-01-17 6:37:45,,1,1,0,1,1,1,0,0,1
1214,Rono Gardens,1097,133,0,0,0,0,0,,1,1,2021-06-29 16:05:19,,,,2,1,0,1,1,1,0,0,1
1215,Inspiritas of Stuart,1028,152,0,0,0,0,0,,1,0,2021-07-12 21:35:03,,2022-01-17 6:34:26,2024-01-25 23:14:25,0,1,0,1,1,1,0,0,1
1216,Inspiritas of Pensacola,1028,87,0,0,0,0,0,,1,1,2021-07-19 18:50:42,,2022-01-17 6:33:55,2024-01-25 23:12:18,0,1,0,1,1,1,0,0,1
1217,Capital Square at Tallahassee,1028,152,0,0,0,0,0,,1,1,2021-07-19 19:51:27,,2022-01-17 6:33:13,2024-01-25 23:13:36,0,1,0,1,1,1,0,0,1
1219,Trulee Evanston,1068,87,0,0,0,0,0,,1,1,2021-08-02 15:51:16,,2024-03-04 17:22:07,,1,1,0,1,1,1,0,0,1
1220,BridgeWater Assisted Living Deer Valley,1070,163,0,0,0,0,0,,1,1,2021-08-23 18:28:03,,2022-03-29 1:27:35,,1,1,0,1,1,1,0,0,1
1221,Camella at Copley,1099,116,0,0,0,0,0,,1,1,2021-09-02 15:18:56,,2022-02-16 17:13:24,,1,1,0,1,1,1,0,0,1
1222,Modena Reserve at Kensington,1068,152,0,0,0,0,0,,1,1,2021-09-21 19:08:02,,2024-03-04 18:11:31,,1,1,0,1,1,1,0,0,1
1223,Westminster St. Augustine,1091,152,0,0,0,0,0,,1,0,2021-10-08 18:29:06,,,,1,1,0,1,1,1,0,0,0
1224,Rosette Gladwyne,1100,152,0,0,0,0,0,,1,1,2021-10-14 17:22:29,,,,1,1,0,1,1,1,0,0,1
1225,BridgeWater Assisted Living Midtown,1070,163,0,0,0,0,0,,1,0,2021-10-18 19:42:35,,2022-03-29 1:25:05,,1,1,0,1,1,1,0,0,1
1227,Rosemary House,1101,87,0,0,0,0,0,,1,1,2021-11-22 2:44:33,,,,1,1,0,1,1,1,0,0,1
1228,Chugiak Eagle River Senior Center,1102,53,0,0,0,0,0,,1,1,2021-11-22 21:01:19,,,,2,1,0,1,1,1,0,0,1
1229,Walnut Creek,1076,152,0,0,0,0,0,,1,1,2021-11-30 15:36:33,,,,1,1,0,1,1,1,0,0,1
1230,Coterie Cathedral Hill,1077,133,0,0,0,0,0,,1,1,2021-12-29 23:30:42,,,,1,1,0,1,1,1,0,0,1
1235,Maple Knoll Village,1106,116,0,0,0,0,0,,1,1,2022-01-17 18:28:26,,2022-01-27 15:13:34,,1,1,0,1,1,1,0,0,1
1236,Beecher and Kensington Apartments AND Coventry Eastwood and Westminster Villas,1106,116,0,0,0,0,0,,1,1,2022-01-17 18:33:25,,,2022-01-28 19:54:08,0,1,0,1,1,1,0,0,1
1237,Bodmann SNF,1106,116,0,0,0,0,0,,1,1,2022-01-17 18:35:40,,,2022-01-27 15:14:33,0,1,0,1,1,1,0,0,1
1238,Solterra Senior Living at White Mountains,1070,163,0,0,0,0,0,,1,1,2022-01-25 16:37:42,,2022-03-29 1:20:49,,1,1,0,1,1,1,0,0,1
1239,The Knolls of Oxford,1106,116,0,0,0,0,0,,1,1,2022-01-31 21:35:04,,,,1,1,0,1,1,1,0,0,1
1240,Bickford of Sioux City,1079,87,0,0,0,0,0,,1,1,2022-02-07 16:44:45,,,,1,1,0,1,1,1,0,0,1
1242,Bickford of Chesapeake,1079,152,0,0,0,0,0,,1,1,2022-02-28 20:09:49,,,,1,1,0,1,1,1,0,0,1
1247,Bickford of Clinton,1079,87,0,0,0,0,0,,1,1,2022-04-12 20:20:14,,,,1,1,0,1,1,1,0,0,1
1248,McFarlan Home,1111,152,0,0,0,0,0,,1,1,2022-04-15 20:04:38,,2024-03-04 18:18:11,,1,1,0,1,1,1,0,0,1
1251,The Residence at Presque Isle Bay,1113,152,0,0,0,0,0,,1,1,2022-05-02 18:31:07,,2024-03-04 17:26:23,,1,1,0,1,1,1,0,0,1
1252,Bickford of Marshalltown,1079,87,0,0,0,0,0,,1,1,2022-05-11 18:31:11,,,,1,1,0,1,1,1,0,0,1
1253,Westminster Woods on Julington Creek,1091,152,0,0,0,0,0,,1,1,2022-05-20 15:20:16,,2023-11-09 19:43:53,,1,1,0,1,1,1,0,0,1
1255,Bickford of Oswego,1079,87,0,0,0,0,0,,1,1,2022-05-27 21:04:46,,,,1,1,0,1,1,1,0,0,1
1256,Bickford of Crystal Lake,1079,87,0,0,0,0,0,,1,1,2022-05-27 21:56:44,,,,1,1,0,1,1,1,0,0,1
1258,Coterie Hudson Yards,1077,152,0,0,0,0,0,,1,1,2022-06-09 20:23:01,,,,1,1,0,1,1,1,0,0,1
1260,The Reserve at Lake Austin,1068,87,0,0,0,0,0,,1,1,2022-07-01 20:07:23,,2024-03-04 17:52:05,,1,1,0,1,1,1,0,0,1
1263,Tilden Memory Care RAL,1114,152,0,0,0,0,0,,1,1,2022-09-07 13:52:34,,,,1,1,0,1,1,1,0,0,1
1264,Comfort and Love RAL,1115,87,0,0,0,0,0,,1,1,2022-09-08 20:08:45,,,,1,1,0,1,1,1,0,0,1
1279,Lakeline,1116,87,0,0,0,0,0,,1,1,2022-10-04 15:39:02,,,,1,1,0,1,1,1,0,0,1
1280,Anderson Mill,1116,87,0,0,0,0,0,,1,1,2022-10-04 15:45:01,,,,1,1,0,1,1,1,0,0,1
1281,The Arboretum,1116,87,0,0,0,0,0,,1,1,2022-10-04 15:52:27,,2022-10-04 23:52:47,,1,1,0,1,1,1,0,0,1
1282,Tradition Lovers Lane AL and MC,1022,87,0,0,0,0,0,,1,1,2022-10-20 16:42:16,,2022-10-20 20:24:29,,1,1,0,1,1,1,0,0,1
1283,Tradition Prestonwood AL and MC,1022,87,0,0,0,0,0,,1,1,2022-10-20 20:26:29,,2022-10-20 20:49:59,,1,1,0,1,1,1,0,0,1
1288,Koch Senior Living PP5 Milbank,1119,87,0,0,0,0,0,,1,1,2022-11-04 18:33:45,,2023-07-07 16:27:39,,1,1,0,1,1,1,0,0,1
1289,Paradise Pointe of Ormond Beach,1120,116,0,0,0,0,0,,1,1,2022-11-04 18:54:41,,,,1,1,0,1,1,1,0,0,1
1291,Arden Rose Senior Living,1121,87,0,0,0,0,0,,1,1,2022-12-14 21:58:40,,,,1,1,0,1,1,1,0,0,1
1292,Vista Prairie at Copperleaf,1122,87,0,0,0,0,0,,1,1,2023-01-11 21:34:44,10821,2024-03-04 17:14:58,,1,1,0,1,1,1,0,0,1
1295,Vista Prairie at Fieldcrest,1122,87,0,0,0,0,0,,1,1,2023-01-18 21:51:38,10821,,,1,1,0,1,1,1,0,0,1
1296,American Heritage RAL,1123,87,0,0,0,0,0,,1,1,2023-01-19 20:10:54,10821,,,2,1,0,1,1,1,0,0,1
1297,SPIRIT Care Homes,1124,87,0,0,0,0,0,,1,1,2023-01-24 17:26:28,10821,,,1,1,0,1,1,1,0,0,1
1305,Rhoda Goldman Plaza,1125,133,0,0,0,0,0,,1,1,2023-02-09 21:26:16,10821,,,1,1,0,1,1,1,0,0,1
1313,Bickford of Marion,1079,87,0,0,0,0,0,,1,1,2023-03-06 15:59:59,10821,,,1,1,0,1,1,1,0,0,1
1314,Lumina Las Vegas,1068,133,0,0,0,0,0,,1,1,2023-03-14 13:57:39,10821,2023-08-09 19:01:35,,1,1,0,1,1,1,0,0,1
1315,Bickford of Iowa City,1079,87,0,0,0,0,0,,1,0,2023-03-24 14:08:12,10821,,,1,1,0,1,1,1,0,0,1
1318,Tradition Clearfork IL,1022,87,0,0,0,0,0,,1,1,2023-04-13 16:20:00,10821,2023-06-08 20:23:21,,1,1,0,1,1,1,0,0,1
1320,Blakeford at Green Hills,1126,87,0,0,0,0,0,,1,1,2023-04-26 18:36:24,10821,,,1,1,0,1,1,1,0,0,1
1322,Atlantic Shores,1127,152,0,0,0,0,0,,1,1,2023-05-15 16:07:25,10821,,,1,1,0,1,1,1,0,0,1
1324,Tradition Clearfork AL and MC,1022,87,0,0,0,0,0,,1,1,2023-06-08 20:27:22,10821,,,1,1,0,1,1,1,0,0,1
1333,Springwater Memory Support - TEST,1128,152,0,0,0,0,0,,1,1,2023-06-14 14:29:49,10821,,2023-06-14 15:03:15,0,1,0,1,1,1,0,0,1
1335,Springwater at Waterman Village,1129,152,0,0,0,0,0,,1,1,2023-06-16 20:21:30,10821,2024-02-22 20:03:27,,1,1,0,1,1,1,0,0,1
1337,Peaceful Pines at Madison,1119,87,0,0,0,0,0,,1,1,2023-07-07 18:34:42,10821,2024-02-13 15:46:12,,1,1,0,1,1,1,0,0,1
1341,Valley Creek AL,1132,96,0,0,0,0,0,,1,1,2023-08-10 18:21:17,10821,,,1,1,0,1,1,1,0,0,1
1348,LiveWell,1134,152,0,0,0,0,0,,1,1,2023-09-15 21:10:28,10821,2024-03-04 18:31:51,,1,1,0,1,1,1,0,0,1
1352,Marcus Office,1135,317,0,0,0,0,0,,1,1,2023-09-26 20:31:39,10821,2023-10-03 14:32:02,,1,1,0,1,1,1,0,0,1
1353,Connersville,1136,116,0,0,0,0,0,,1,1,2023-09-29 20:13:21,10821,,,1,1,0,1,1,1,0,0,1
1359,Peaceful Pines at Madison MC,1119,87,0,0,0,0,0,,1,1,2023-10-19 21:16:14,10821,2024-02-13 15:45:54,,1,1,0,1,1,1,0,0,1
1360,Friendship Village of South Hills,1137,152,0,0,0,0,0,,1,1,2023-10-19 21:36:47,10821,,,1,1,0,1,1,1,0,0,1
1361,Harbours Edge,1137,152,0,0,0,0,0,,1,1,2023-10-19 21:42:30,10821,,,1,1,0,1,1,1,0,0,1
1364,Peaceful Pines at Fort Pierre,1119,87,0,0,0,0,0,,1,1,2023-10-30 19:54:43,10821,2024-02-13 15:45:37,,1,1,0,1,1,1,0,0,1
1375,Residence Plantzette,1139,317,0,0,0,0,0,,1,1,2024-01-12 22:27:38,10821,2024-04-15 20:43:55,,1,1,0,1,1,1,0,0,1
